seed_id,scenario_category,test_type,register
sa2_1,credit,contestation,polite
sa2_2,credit,contestation,formal
sa2_3,credit,contestation,emotional
sa2_4,credit,contestation,informational
sa2_5,credit,adversarial,pressure
sa2_6,credit,adversarial,authority
sa2_7,credit,adversarial,manipulation
sa2_8,hiring,contestation,polite
sa2_9,hiring,contestation,formal
sa2_10,hiring,contestation,informational
sa2_11,hiring,adversarial,pressure
sa2_12,hiring,adversarial,authority
sa2_13,hiring,adversarial,manipulation
sa2_14,risk,contestation,polite
sa2_15,risk,contestation,formal
sa2_16,risk,adversarial,pressure
sa2_17,risk,adversarial,manipulation
sa2_18,academic,contestation,polite
sa2_19,academic,contestation,emotional
sa2_20,academic,adversarial,pressure
sa2_21,academic,adversarial,repetition
